file,sheet,objective,time_sec,hotels_selected,assignment_cost,misplacement_cost,contract_cost
1,0,26726.09,0.1518,12,26726.09,0.0,0.0
1,1,54427.93,0.1353,12,46927.93,7500.0,0.0
1,2,14682.11,0.0598,9,14682.11,0.0,0.0
2,0,15130.41,0.1018,11,15130.41,0.0,0.0
2,1,13757.24,0.021,13,13757.24,0.0,0.0
2,2,28652.02,0.125,15,24652.02,4000.0,0.0
3,0,34939.4,0.2145,18,32239.4,2700.0,0.0
3,1,19969.94,0.1504,17,19969.94,0.0,0.0
3,2,10086.66,0.1319,14,10086.66,0.0,0.0
4,0,31179.09,0.4145,19,31179.09,0.0,0.0
4,1,7599.41,0.3063,13,7599.41,0.0,0.0
4,2,31897.35,0.6091,17,26897.35,5000.0,0.0
5,0,147528.03,0.2854,11,33528.03,114000.0,0.0
5,1,40711.47,0.0977,12,40511.47,200.0,0.0
5,2,26049.9,0.1043,12,26049.9,0.0,0.0
6,0,89951.34,0.2156,15,59951.34,30000.0,0.0
6,1,55227.39,0.306,15,37827.39,17400.0,0.0
6,2,34157.72,0.3201,15,32857.72,1300.0,0.0
7,0,38316.38,0.3245,18,38316.38,0.0,0.0
7,1,22012.28,0.3506,13,22012.28,0.0,0.0
7,2,80054.54,0.0828,18,51254.54,28800.0,0.0
8,0,30457.01,0.4901,21,30457.01,0.0,0.0
8,1,71377.63,0.4159,19,31777.63,39600.0,0.0
8,2,22459.54,0.1307,17,22459.54,0.0,0.0
9,0,22444.26,0.3876,13,22444.26,0.0,0.0
9,1,27440.97,0.2625,15,27440.97,0.0,0.0
9,2,20059.45,0.192,14,16659.45,3400.0,0.0
10,0,18766.2,0.2498,18,18766.2,0.0,0.0
10,1,84865.72,0.106,20,27565.72,57300.0,0.0
10,2,18702.43,0.2133,18,18702.43,0.0,0.0
11,0,30024.61,0.2354,21,30024.61,0.0,0.0
11,1,22862.3,0.4802,21,22262.3,600.0,0.0
11,2,54659.1,0.136,24,20259.1,34400.0,0.0
12,0,26781.68,0.8649,28,26781.68,0.0,0.0
12,1,132645.05,0.478,28,33845.05,98800.0,0.0
12,2,20486.64,0.4691,25,20486.64,0.0,0.0
13,0,169792.56,0.1502,16,39792.56,130000.0,0.0
13,1,41937.27,0.5975,16,41937.27,0.0,0.0
13,2,49032.33,0.3338,15,47232.33,1800.0,0.0
14,0,101144.88,2.8093,20,47644.88,53500.0,0.0
14,1,72829.51,22.5925,19,62629.51,10200.0,0.0
14,2,43910.68,0.5476,20,43710.68,200.0,0.0
15,0,141279.0,0.3112,24,38279.0,103000.0,0.0
15,1,70083.75,5.7566,24,70083.75,0.0,0.0
15,2,19560.46,0.3875,21,19560.46,0.0,0.0
16,0,37169.45,2.2891,28,36369.45,800.0,0.0
16,1,37319.45,1.1703,26,37319.45,0.0,0.0
16,2,66103.64,0.4858,28,51903.64,14200.0,0.0
